date,family,Actual_Sales,Fitted_Sales
2013-04-07,BEVERAGES,441419.0,424154.78
2013-04-14,BEVERAGES,412046.0,391535.22
2013-04-21,BEVERAGES,399330.0,391535.22
2013-04-28,BEVERAGES,394891.0,372689.3
2013-05-05,BEVERAGES,452789.0,391675.3
2013-05-12,BEVERAGES,470957.0,433188.66
2013-05-19,BEVERAGES,430124.0,475424.4
2013-05-26,BEVERAGES,396376.0,422056.16
2013-06-02,BEVERAGES,424726.0,409074.66
2013-06-09,BEVERAGES,426212.0,451301.0
2013-06-16,BEVERAGES,403539.0,414775.12
2013-06-23,BEVERAGES,416427.0,422056.16
2013-06-30,BEVERAGES,491204.0,459179.12
2013-07-07,BEVERAGES,452032.0,457920.2
2013-07-14,BEVERAGES,364895.0,415486.84
2013-07-21,BEVERAGES,373483.0,395532.38
2013-07-28,BEVERAGES,378675.0,423711.62
2013-08-04,BEVERAGES,416164.0,408106.62
2013-08-11,BEVERAGES,402712.0,414778.8
2013-08-18,BEVERAGES,401151.0,411959.56
2013-08-25,BEVERAGES,397122.0,410830.4
2013-09-01,BEVERAGES,440996.0,370603.66
2013-09-08,BEVERAGES,465327.0,402865.53
2013-09-15,BEVERAGES,428211.0,464410.16
2013-09-22,BEVERAGES,435320.0,414569.25
2013-09-29,BEVERAGES,425908.0,448864.72
2013-10-06,BEVERAGES,459752.0,470439.53
2013-10-13,BEVERAGES,432458.0,412403.1
2013-10-20,BEVERAGES,413214.0,430383.88
2013-10-27,BEVERAGES,404887.0,423182.16
2013-11-03,BEVERAGES,437991.0,455110.1
2013-11-10,BEVERAGES,453556.0,435971.0
2013-11-17,BEVERAGES,442226.0,427260.6
2013-11-24,BEVERAGES,422023.0,430908.56
2013-12-01,BEVERAGES,444877.0,451050.03
2013-12-08,BEVERAGES,474920.0,477880.4
2013-12-15,BEVERAGES,474963.0,496541.28
2013-12-22,BEVERAGES,597305.0,524886.56
2013-12-29,BEVERAGES,490514.0,492234.94
2014-01-05,BEVERAGES,945566.0,647367.6
2014-01-12,BEVERAGES,969125.0,937855.8
